dbn,name,year,freelunch,ell,sped,asian,black,hisp,white,male,female
30Q575,ACADEMY OF AMERICAN STUDIES                     ,2011-2012,52.4,5.7,8,29.1,6.8,34.7,29.4,45,55
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION       ,2011-2012,32.2,0,0.2,34.8,3.2,24.3,37.3,44.8,55.2
31R001,PS 001 TOTTENVILLE                              ,2011-2012,24.6,5.3,21.3,1.8,1.3,14,82.4,50.5,49.5
31R002,I S 002 GEORGE L EGBERT                         ,2011-2012,52.8,6.7,21.1,8.8,7,27.7,56.2,51.9,48.1
31R003,PS 003 THE MARGARET GIOIOSA SCHOOL              ,2011-2012,19.1,1.6,13.7,5.4,0.6,8.6,84.7,48.9,51.1
31R004,PS 004 MAURICE WOLLIN                           ,2011-2012,29.9,3.4,25.4,5.7,1.6,13.9,78,53.9,46.1
31R005,PS 005 HUGUENOT                                 ,2011-2012,17.5,1.4,10.7,3.7,0.9,7,87.9,49.3,50.7
31R006,PS 6 CPL ALLAN F KIVLEHAN SCHL                  ,2011-2012,25.6,3.6,20.8,3,0.5,9.3,86.5,52.7,47.3
31R007,IS 007 ELIAS BERNSTEIN                          ,2011-2012,20.9,1.7,14.2,4.8,0.6,8,86.3,50,50
31R008,PS 8 SHIRLEE SOLOMON                            ,2011-2012,34.4,1.5,19.8,3.5,2.4,13,80.8,49.3,50.7
31R011,PS 011 THOMAS DONGAN                            ,2011-2012,59.6,6.7,22.7,5,15.7,35.7,42,53,47
31R013,PS 013 M L LINDENMEYER                          ,2011-2012,69.3,15.4,13.2,13.6,18.6,36.9,29.6,50.3,49.7
31R014,PS 014 CORNELIUS VANDERBILT                     ,2011-2012,90.4,7.7,13.8,2.4,39.9,47.6,9.9,49.6,50.4
31R016,PS 016 JOHN J DRISCOLL                          ,2011-2012,89.4,29.3,20,5.4,27.3,54.3,12.6,48.9,51.1
31R018,PS 018 JOHN G WHITTIER                          ,2011-2012,84.2,6.8,24.3,2.6,39.3,46.5,11.1,54.4,45.6
31R019,PS 019 THE CURTIS SCHOOL                        ,2011-2012,74.2,14.4,13.9,6.1,19.2,62.5,9.1,49.5,50.5
31R020,PS 020 PORT RICHMOND                            ,2011-2012,89.7,39.8,18.4,0.4,17.1,73.3,7.6,51.6,48.4
31R021,PS 21 MARGARET EMERY-ELM PARK                   ,2011-2012,76.4,20.1,15,3,25.4,59,12,51.3,48.7
31R022,PS 022 GRANITEVILLE                             ,2011-2012,72.5,9,18.1,9.1,24.1,50.1,15.3,48.4,51.6
31R023,PS 023 RICHMONDTOWN                             ,2011-2012,25.1,3,21.3,2.5,2.8,13,81.7,51.9,48.1
31R024,I S 024 MYRA S BARNES                           ,2011-2012,27.4,1.5,19.1,3.9,1.6,10.8,83.1,55.2,44.8
31R026,PS 026 THE CARTERET SCHOOL                      ,2011-2012,51.6,8.8,17.7,5.4,4.1,38.1,51.7,51.7,48.3
31R027,IS 027 ANNING S PRALL                           ,2011-2012,57.9,6.3,22.7,11.4,23.2,36.6,28.1,53.3,46.7
31R029,PS 029 BARDWELL                                 ,2011-2012,36.8,2.6,13.2,13.3,8.8,16.3,61.2,48.4,51.6
31R030,PS 030 WESTERLEIGH                              ,2011-2012,30.3,3.5,19.4,6.6,4.8,19,68.2,53.2,46.8
31R031,PS 031 WILLIAM T DAVIS                          ,2011-2012,83,6.8,24.9,1,51.2,36.9,10,51.2,48.8
31R032,PS 032 THE GIFFORD SCHOOL                       ,2011-2012,26.6,2.2,16.7,3.5,0.7,10.7,84,48.5,51.5
31R034,I S 034 TOTTENVILLE                             ,2011-2012,23.9,1,20.6,2.1,0.4,8.6,88.5,51,49
31R035,PS 035 CLOVE VALLEY                             ,2011-2012,32.6,3.5,14.6,9.1,13.7,19.9,56.4,49.7,50.3
31R036,PS 036 J C DRUMGOOLE                            ,2011-2012,19.5,2.1,14.8,4.3,0.7,7.5,87.3,51.5,48.5
31R038,PS 038 GEORGE CROMWELL                          ,2011-2012,60.1,9.7,19.9,5.1,5.1,26.4,63.1,46.6,53.4
31R039,PS 39 FRANCIS J MURPHY JR.                      ,2011-2012,54.7,10,9.1,12.2,5.3,26.1,55.8,50.7,49.3
31R041,PS 041 NEW DORP                                 ,2011-2012,51,8.1,18.6,5,4.5,30.5,58.9,50.5,49.5
31R042,PS 042 ELTINGVILLE                              ,2011-2012,26.5,1.9,19.2,4.1,0.7,11.4,82.6,49.7,50.3
31R044,PS 044 THOMAS C BROWN                           ,2011-2012,87.8,9.4,23.7,2,42.7,48.4,3.1,49,51
31R045,PS 045 JOHN TYLER                               ,2011-2012,57.2,7,16.4,5.3,22.2,33.5,38.2,51.2,48.8
31R046,PS 046 ALBERT V. MANISCALCO                     ,2011-2012,62.9,8.1,24.3,10.6,17.1,32.1,39.6,53.6,46.4
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES       ,2011-2012,29,0.2,13.9,11.5,12,17.9,58.5,41.5,58.5
31R048,PS 048 WILLIAM C WILCOX                         ,2011-2012,31.9,8.9,13.1,18.3,4.9,15.6,60.6,50.3,49.7
